"Symbol","Name","Index Country","Country of incorporation","GICS Sector","Foreign issuer?","Russell 3000?","Market cap","Average Volume","Action"
"API","Agora, Inc. ADRs","China","USA","Information Technology","Yes","No","$2,692,589,120","744,505","Analyze"
"CSTM","Constellium NV Class A","The Netherlands","France","Materials","Yes","Yes","$2,551,519,511","971,051","Analyze"
"RNW","ReNew Energy Global plc Class A","United Kingdom","Canada","Utilities","Yes","No","$2,541,699,846","1,736,621","Analyze"
"LILM","Lilium N.V. - Class A","Germany","","Industrials","Yes","No","$2,399,600,225","1,331,235","Analyze"
"TARO","Taro Pharmaceutical Industries Ltd","Israel","Israel","Health Care","Yes","No","$2,368,102,187","12,222","Analyze"
"SBLK","Star Bulk Carriers Corp.","Greece","Marshall Islands","Industrials","Yes","No","$2,346,401,482","1,927,835","Analyze"
"ATAI","ATAI Life Sciences N.V.","Germany","","Health Care","No","No","$2,269,657,916","269,119","Analyze"
"CSIQ","Canadian Solar Inc.","China","Canada","Energy","Yes","No","$2,240,911,966","987,528","Analyze"
"KEN","Kenon Holdings Ltd.","Singapore","Singapore","Utilities","Yes","No","$2,230,595,444","9,170","Analyze"
"PTVE","Pactiv Evergreen Inc.","New Zealand","USA","Materials","No","Yes","$2,225,100,838","110,872","Analyze"
"NTB","Bank Of Nt Butterfield & Son Ltd","Bermuda","Bermuda","Financials","Yes","Yes","$2,148,491,251","128,045","Analyze"
"INT","World Fuel Services Corp","China","USA","Energy","No","Yes","$2,065,728,323","361,666","Analyze"
"ATTO","Atento S.A.","Luxembourg","Luxembourg","Industrials","Yes","No","$2,060,856,229","13,150","Analyze"
"WKME","WalkMe Ltd.","Israel","","Information Technology","Yes","No","$2,028,282,485","192,838","Analyze"
"MMYT","MakeMyTrip Limited","India","Mauritius","Consumer Discretionary","Yes","No","$1,989,039,343","350,689","Analyze"
"WFRD","Weatherford International plc","Ireland","Ireland","Energy","No","No","$1,963,366,776","337,966","Analyze"
"ADCT","ADC Therapeutics SA","Switzerland","Switzerland","Health Care","Yes","No","$1,963,304,285","121,956","Analyze"
"TBLA","Taboola.com Ltd.","Israel","","Communication Services","Yes","No","$1,944,418,284","544,446","Analyze"
"CLBT","Cellebrite DI Ltd.","Israel","","Information Technology","Yes","No","$1,920,254,993","352,747","Analyze"
"FRO","Frontline Ltd","Bermuda","Bermuda","Energy","Yes","Yes","$1,905,753,974","2,251,268","Analyze"
"LICY","Li-Cycle Holdings Corp.","Canada","","Industrials","Yes","No","$1,904,305,407","3,319,792","Analyze"
"MYOV","Myovant Sciences Ltd.","United Kingdom","Bermuda","Health Care","No","No","$1,869,180,558","440,548","Analyze"
"ARQQ","Arqit Quantum Inc.","United Kingdom","","Information Technology","Yes","No","$1,868,342,571","1,120,493","Analyze"
"SPNS","Sapiens International Corporation N.V.","The Netherlands","Cayman Islands","Information Technology","Yes","Yes","$1,849,339,715","108,397","Analyze"
"TGH","Textainer Group Holdings Ltd","Bermuda","Bermuda","Industrials","Yes","Yes","$1,832,969,550","453,600","Analyze"
"GDEV","Nexters Inc.","Cyprus","","Communication Services","Yes","No","$1,768,707,909","102,767","Analyze"
"CAMT","Camtek Ltd.","Israel","Israel","Information Technology","Yes","No","$1,718,857,115","155,543","Analyze"
"NE","Noble Corporation plc","United Kingdom","Cayman Islands","Energy","No","No","$1,610,467,272","145,838","Analyze"
"RDWR","Radware Ltd.","Israel","Israel","Information Technology","Yes","No","$1,604,986,359","305,584","Analyze"
"DAC","Danaos Corporation","Greece","","Industrials","Yes","No","$1,564,702,775","397,431","Analyze"
"SMWB","Similarweb Ltd.","Israel","","Communication Services","Yes","No","$1,494,971,776","81,512","Analyze"
"NFH","New Frontier Health Corporation","China","","Health Care","Yes","No","$1,486,961,014","163,386","Analyze"
"GSM","Ferroglobe Plc","United Kingdom","United Kingdom","Materials","Yes","No","$1,429,599,168","2,702,890","Analyze"
"DOLE","Dole plc","Ireland","Ireland","Consumer Staples","Yes","No","$1,426,270,464","676,454","Analyze"
"CGNT","Cognyte Software Ltd.","Israel","Israel","Information Technology","Yes","No","$1,388,475,102","959,654","Analyze"
"PLYA","Playa Hotels & Resorts N.V.","The Netherlands","The Netherlands","Consumer Discretionary","No","No","$1,387,644,981","899,949","Analyze"
"MMAT","Meta Materials Inc.","Canada","USA","Information Technology","No","Yes","$1,362,542,499","11,285,445","Analyze"
"GB","Global Blue Group Holding AG","Switzerland","","Information Technology","Yes","No","$1,352,206,865","30,424","Analyze"
"QURE","Uniqure Nv","The Netherlands","The Netherlands","Health Care","No","No","$1,315,765,741","380,851","Analyze"
"BWMX","Betterware de Mexico, S.A. de C.V.","Mexico","","Consumer Discretionary","Yes","No","$1,255,596,102","30,163","Analyze"
"TGLS","Tecnoglass Inc","Colombia","Cayman Islands","Industrials","No","No","$1,248,125,557","306,229","Analyze"
"HOLI","Hollysys Automation Technologies","China","British Virgin Islands","Industrials","Yes","No","$1,218,611,803","307,300","Analyze"
"IS","ironSource Ltd. Class A","Israel","","Information Technology","Yes","No","$1,198,080,000","1,745,917","Analyze"
"PSFE","Paysafe Limited","Bermuda","Bermuda","Information Technology","Yes","Yes","$1,188,297,095","6,249,988","Analyze"
"AUDC","Audiocodes Ltd.","Israel","Israel","Information Technology","Yes","No","$1,168,814,838","87,607","Analyze"
"SNDL","Sundial Growers Inc.","Canada","","Health Care","Yes","No","$1,144,559,840","89,616,729","Analyze"
"OEC","Orion Engineered Carbons S.A","Luxembourg","Luxembourg","Materials","No","Yes","$1,136,268,079","168,174","Analyze"
"AZRE","Azure Power Global Limited Equity Shares","India","Mauritius","Utilities","Yes","No","$1,125,375,713","255,583","Analyze"
"AGRO","Adecoagro Sa","Luxembourg","USA","Consumer Staples","Yes","No","$1,112,317,475","689,964","Analyze"
"NNOX","Nano-X Imaging Ltd.","Israel","Israel","Health Care","Yes","No","$1,112,290,151","513,664","Analyze"
"SFL","Ship Finance International Ltd","Bermuda","Bermuda","Energy","Yes","Yes","$1,112,125,651","764,145","Analyze"
"MRUS","Merus N.V.","The Netherlands","The Netherlands","Health Care","No","No","$1,093,923,740","1,116,954","Analyze"
"FLNG","FLEX LNG Ltd.","Bermuda","Bermuda","Energy","Yes","No","$1,092,710,842","129,427","Analyze"
"PROC","Procaps Group, S.A.","Luxembourg","","Health Care","Yes","No","$1,074,086,222","246,849","Analyze"
"ZYME","Zymeworks Inc.","Canada","Canada","Health Care","No","No","$1,061,430,288","708,488","Analyze"
"STNG","Scorpio Tankers Inc","Monaco","Marshall Islands","Energy","Yes","Yes","$1,057,876,207","862,896","Analyze"
"SOPH","Sophia Genetics SA","Switzerland","","Health Care","Yes","No","$1,048,245,737","44,995","Analyze"
"NTP","Nam Tai Property Inc","China","British Virgin Islands","Real Estate","Yes","No","$1,030,907,163","58,366","Analyze"
"KARO","Karooooo Ltd.","Singapore","Sweden","Information Technology","Yes","No","$1,021,386,498","8,932","Analyze"
"WILC","G. Willi-Food International,  Ltd.","Israel","","Consumer Staples","Yes","No","$1,017,000,000","3,108","Analyze"
"NGMS","NeoGames S.A.","Luxembourg","Luxembourg","Consumer Discretionary","Yes","Yes","$1,011,383,994","107,474","Analyze"
"BROG","Brooge Energy Limited","United Arab Emirates","","Energy","Yes","No","$987,386,565","3,469","Analyze"
"REE","REE Automotive Ltd. - Class A","Israel","Spain","Utilities","Yes","No","$947,296,076","823,714","Analyze"
"GPRK","Geopark Ltd","Chile","","Energy","Yes","No","$939,248,191","296,834","Analyze"
"CAAP","Corporacion America Airports SA","Argentina","Luxembourg","Industrials","Yes","No","$932,001,657","179,385","Analyze"
"PAX","Patria Investments Ltd","Cayman Islands","","Financials","Yes","No","$883,890,000","181,926","Analyze"
"DESP","Despegar.Com Corp.","Argentina","British Virgin Islands","Consumer Discretionary","Yes","No","$862,221,734","352,416","Analyze"
"AFYA","Afya Limited - Class A","Brazil","","Consumer Staples","Yes","No","$858,489,276","101,374","Analyze"
"GSL","Global Ship Lease Inc New Class A","Marshall Islands","","Industrials","Yes","No","$850,484,490","782,934","Analyze"
"VLN","Valens Semiconductor Ltd.","Israel","","Information Technology","Yes","No","$839,060,900","619,716","Analyze"
"IMTX","Immatics N.V.","Germany","","Health Care","Yes","No","$832,910,089","119,211","Analyze"
"CZOO","Cazoo Group Ltd Class A","United Kingdom","","Information Technology","Yes","No","$806,408,894","1,026,177","Analyze"
"BBAR","BBVA Banco Frances S.A.","Argentina","USA","Financials","Yes","No","$804,692,570","363,588","Analyze"
"VINP","Vinci Partners Investments Ltd.","Brazil","","Financials","Yes","No","$782,769,593","109,365","Analyze"
"PERI","Perion Network Ltd","Israel","","Information Technology","Yes","No","$777,909,171","387,309","Analyze"
"GHRS","GH Research PLC","Ireland","","Health Care","Yes","No","$737,698,163","28,505","Analyze"
"MANU","Manchester United Ltd. Class A","United Kingdom","","Consumer Discretionary","Yes","No","$717,400,636","655,817","Analyze"
"MIGI","Mawson Infrastructure Group Inc","Australia","","Health Care","No","No","$662,410,282","110,520","Analyze"
"BYSI","Beyondspring Inc.","China","Cayman Islands","Health Care","Yes","Yes","$651,513,890","737,085","Analyze"
"INVZ","Innoviz Technologies Ltd.","Israel","","Consumer Discretionary","Yes","No","$650,318,445","589,763","Analyze"
"SVA","Sinovac Biotech, Ltd.","China","","Health Care","Yes","No","$642,436,987","0","Analyze"
"SGOC","Sgoco Group, Ltd  (Cayman Islands)","Hong Kong","","Information Technology","Yes","No","$633,971,508","780,352","Analyze"
"ATC","Atotech Limited","United Kingdom","","Information Technology","Yes","No","$626,412,202","400,619","Analyze"
"BTBT","Golden Bull Limited","China","Cayman Islands","Information Technology","Yes","No","$624,145,171","17,214,525","Analyze"
"ITRN","Ituran Location And Control Ltd","Israel","Israel","Information Technology","Yes","No","$622,333,676","78,268","Analyze"
"MAXN","Maxeon Solar Technologies, Ltd.","Singapore","Singapore","Information Technology","Yes","No","$622,211,958","591,653","Analyze"
"LXFR","Luxfer Holdings PLC","United Kingdom","United Kingdom","Industrials","No","Yes","$609,091,878","78,091","Analyze"
"NAKD","Naked Brand Group Inc","Australia","Australia","Consumer Discretionary","Yes","No","$606,947,911","96,435,567","Analyze"
"NYXH","Nyxoah SA","Belgium","","Health Care","Yes","No","$600,363,904","5,595","Analyze"
"BLX","Banco Latinoamericano De Comercio","Panama","Panama","Financials","Yes","Yes","$587,005,152","131,755","Analyze"
"AFMD","Affimed N.V.","Germany","The Netherlands","Health Care","Yes","Yes","$586,775,378","687,699","Analyze"
"ARCO","Arcos Dorados Holdings Inc Class A","Uruguay","British Virgin Islands","Consumer Discretionary","Yes","No","$576,925,635","557,029","Analyze"
"ARCE","Arco Platform Limited - Class A","Brazil","","Information Technology","Yes","No","$575,962,522","159,730","Analyze"
"SB","Safe Bulkers Inc","Greece","Marshall Islands","Industrials","Yes","Yes","$567,569,558","1,761,812","Analyze"
"CGEN","Compugen Ltd.","Israel","Israel","Health Care","Yes","No","$546,305,718","730,363","Analyze"
"BIOX","Bioceres Crop Solutions Corp.","Argentina","","Industrials","Yes","No","$534,586,371","17,195","Analyze"
"CO","Global Cord Blood Corporation","Hong Kong","Cayman Islands","Consumer Staples","Yes","No","$533,609,219","64,131","Analyze"
"CYD","China Yuchai International Ltd","China","Bermuda","Industrials","Yes","No","$533,200,685","25,762","Analyze"
"ALLT","Allot Communications Ltd.","Israel","","Information Technology","Yes","No","$527,201,306","131,445","Analyze"
"RADA","Rada Electronic Industries Ltd.","Israel","","Industrials","Yes","No","$520,141,396","316,144","Analyze"
"DSX","Diana Shipping Inc.","Greece","","Industrials","Yes","No","$507,103,911","1,212,345","Analyze"
"ARBE","Arbe Robotics Ltd.","Israel","","Information Technology","Yes","No","$501,990,919","96,835","Analyze"
"TRIT","Triterras, Inc. - Class A","Singapore","","Information Technology","Yes","No","$497,511,297","308,024","Analyze"
"NVGS","Navigator Holdings Ltd","United Kingdom","Marshall Islands","Industrials","Yes","No","$481,802,987","47,283","Analyze"
"GTX","Garrett Motion Inc.","Switzerland","USA","Consumer Discretionary","No","No","$474,303,299","180,531","Analyze"
"PHVS","Pharvaris N.V.","The Netherlands","","Health Care","Yes","No","$464,503,381","4,549","Analyze"
"NAT","Nordic American Tankers Ltd","Bermuda","Bermuda","Energy","Yes","Yes","$443,668,186","2,929,983","Analyze"
"ACIU","AC Immune SA","Switzerland","Switzerland","Health Care","Yes","No","$438,822,030","303,661","Analyze"
"RCEL","Avita Medical Limited","Australia","USA","Health Care","No","Yes","$424,972,398","50,056","Analyze"
"CSTE","Caesarstone Ltd","Israel","Israel","Industrials","Yes","Yes","$422,545,622","85,386","Analyze"
"TNK","Teekay Tankers Ltd Class A","Bermuda","Marshall Islands","Energy","Yes","Yes","$418,341,538","321,580","Analyze"
"ABUS","Arbutus Biopharma Corporation","Canada","Canada","Health Care","No","Yes","$411,519,121","2,721,128","Analyze"
"IGIC","International General Insurance Holdings Ltd.","Jordan","","Financials","Yes","No","$403,643,716","20,772","Analyze"
"PRQR","ProQR Therapeutics N.V.","The Netherlands","The Netherlands","Health Care","Yes","No","$392,099,566","613,795","Analyze"
"GROY","Gold Royalty Corp.","Canada","","Materials","Yes","No","$391,626,944","701,777","Analyze"
"SOLO","Electrameccanica Vehicles Corp. Ltd.","Canada","Canada","Consumer Discretionary","Yes","No","$387,555,782","2,563,980","Analyze"
"URGN","UroGen Pharma Ltd.","Israel","Israel","Health Care","No","Yes","$383,973,105","50,272","Analyze"
"LMDX","LumiraDx Limited","United Kingdom","","Health Care","Yes","No","$379,590,651","919,937","Analyze"
"ELLO","Ellomay Capital Ltd","Israel","","Utilities","Yes","No","$379,562,820","2,186","Analyze"
"TK","Teekay Corp","Canada","Marshall Islands","Energy","Yes","Yes","$378,147,234","1,116,189","Analyze"
"GAMB","Gambling.com Group Ltd","Jersey","","Consumer Discretionary","Yes","No","$371,870,642","232,934","Analyze"
"VTRU","Vitru Ltd","Brazil","","Consumer Staples","Yes","No","$367,314,784","11,260","Analyze"
"LKCO","Luokung Technology Corp","China","","Information Technology","Yes","No","$365,720,992","5,420,096","Analyze"
"TUFN","Tufin Software Technologies Ltd.","Israel","","Information Technology","Yes","No","$361,390,829","138,377","Analyze"
"KNDI","Kandi Technologies Group","China","","Consumer Discretionary","No","No","$351,634,423","765,792","Analyze"
"BORR","Borr Drilling Limited","Bermuda","","Energy","Yes","No","$334,812,348","2,374,087","Analyze"
"NMM","Navios Maritime Partners LP","Monaco","","Industrials","Yes","No","$326,287,578","396,749","Analyze"
"VNTR","Venator Materials PLC","United Kingdom","United Kingdom","Materials","No","No","$323,917,970","212,923","Analyze"
"IBEX","IBEX Ltd","Bermuda","Bermuda","Information Technology","Yes","Yes","$321,035,765","13,236","Analyze"
"KXIN","Kaixin Auto Holdings","China","","Financials","Yes","No","$318,482,299","552,345","Analyze"
"HITI","High Tide Inc.","Canada","","Health Care","Yes","No","$315,694,235","191,323","Analyze"
"INCR","Intercure Ltd.","Israel","","Health Care","Yes","No","$299,126,374","127,299","Analyze"
"BTNB","Bridgetown 2 Holdings Limited Class A","Hong Kong","","Financials","No","No","$297,206,000","44,235","Analyze"
"ACHL","Achilles Therapeutics plc","United Kingdom","","Health Care","Yes","No","$288,284,772","432,097","Analyze"
"SILC","Silicom Ltd","Israel","","Information Technology","Yes","No","$287,571,785","23,307","Analyze"
"WBX","Wallbox N.V. Class A","Spain","","Information Technology","Yes","No","$287,500,000","509,651","Analyze"
"CRNT","Ceragon Networks Ltd","Israel","","Information Technology","Yes","No","$282,674,326","391,850","Analyze"
"ANY","Sphere 3D Corp.","Canada","","Information Technology","Yes","No","$277,363,024","31,906,876","Analyze"
"TRMD","Torm Plc - Class A","United Kingdom","","Industrials","Yes","No","$276,799,884","340,821","Analyze"
"CCAC","CITIC Capital Acquisition Corp. Class A","China","","Financials","No","No","$276,276,000","162,267","Analyze"
"EBON","Ebang International Holdings Inc. - Class A","China","Cayman Islands","Information Technology","Yes","No","$275,634,917","3,935,069","Analyze"
"QTNT","Quotient Ltd","Switzerland","Jersey","Health Care","No","Yes","$269,210,848","673,036","Analyze"
"PRTG","Portage Biotech Inc.","Canada","British Virgin Islands","Health Care","Yes","Yes","$264,125,542","14,516","Analyze"
"SRRA","Sierra Oncology","Canada","USA","Health Care","No","No","$258,874,832","49,095","Analyze"
"NISN","NiSun Intl Enterprise Development Group Co, Ltd - Class A","China","","Industrials","Yes","No","$257,966,869","69,969","Analyze"
"AGMH","AGM Group Holdings Inc. Class A","China","British Virgin Islands","Financials","Yes","No","$254,955,344","232,376","Analyze"
"GMDA","Gamida Cell Ltd.","Israel","Israel","Health Care","Yes","No","$236,000,612","235,586","Analyze"
"RGC","Regencell Bioscience Holdings Ltd","Hong Kong","","Health Care","No","No","$229,580,627","184,309","Analyze"
"CTRM","Castor Maritime Inc.","Cyprus","","Industrials","Yes","No","$229,387,412","3,158,315","Analyze"
"IMUX","Immunic, Inc.","Germany","USA","Health Care","No","Yes","$222,857,737","342,062","Analyze"
"CNTG","Centogene N.V.","Germany","The Netherlands","Health Care","Yes","No","$219,407,019","25,167","Analyze"
"VECT","VectivBio Holding AG","Switzerland","","Health Care","Yes","No","$215,989,264","11,587","Analyze"
"SLGL","Sol-Gel Technologies Ltd.","Israel","","Health Care","Yes","No","$215,084,004","8,799","Analyze"
"ZENV","Zenvia Inc.","Brazil","","Information Technology","Yes","No","$213,722,016","139,851","Analyze"
"ESEA","Euroseas Ltd.","Greece","","Industrials","Yes","No","$210,602,825","193,283","Analyze"
"ATIF","ATIF Holdings Limited","China","","Financials","Yes","No","$209,559,000","110,608","Analyze"
"SHIP","Seanergy Maritime Holdings Corp","Greece","","Industrials","Yes","No","$204,414,481","10,088,116","Analyze"
"CBAT","Cbak Energy Technology, Inc.","China","","Information Technology","No","No","$198,041,052","1,037,928","Analyze"
"FLGC","Flora Growth Corp.","Canada","","Consumer Discretionary","Yes","No","$197,511,639","2,093,185","Analyze"
"ICCM","IceCure Medical Ltd.","Israel","","Health Care","Yes","No","$192,540,070","51,890","Analyze"
"IMCC","IM Cannabis Corp.","Canada","","Consumer Discretionary","Yes","No","$191,158,816","93,388","Analyze"
"BRAG","Bragg Gaming Group Inc.","Canada","","Communication Services","Yes","No","$184,127,553","34,334","Analyze"
"NETI","Eneti Inc.","Monaco","Marshall Islands","Industrials","Yes","No","$182,546,065","50,660","Analyze"
"GAU","Galiano Gold Inc.","Canada","","Minerals","Yes","No","$179,954,762","344,247","Analyze"
"LVTX","LAVA Therapeutics N.V.","The Netherlands","","Health Care","Yes","No","$174,677,051","72,141","Analyze"
"TNP","Tsakos Energy Navigation Ltd","Greece","","Industrials","Yes","No","$171,586,488","322,586","Analyze"
"VGFC","The Very Good Food Company Inc.","Canada","","Consumer Staples","Yes","No","$171,280,213","979,308","Analyze"
"ENLV","Enlivex Therapeutics Ltd.","Israel","","Health Care","Yes","No","$165,160,773","72,981","Analyze"
"BRCN","Burcon NutraScience Corp","Canada","","Consumer Staples","Yes","No","$161,827,774","79,473","Analyze"
"NYMX","Nymox Pharmaceutical Corp","Canada","Bahamas","Health Care","Yes","No","$161,466,515","66,264","Analyze"
"OBSV","ObsEva SA","Switzerland","","Health Care","Yes","No","$157,694,064","664,178","Analyze"
"CNEY","CN Energy Group Inc.","China","","Materials","Yes","No","$155,645,654","342,145","Analyze"
"FTFT","Future Fintech Group Inc.","China","","Information Technology","No","No","$155,549,066","1,316,173","Analyze"
"RDCM","Radcom Ltd.","Israel","","Information Technology","Yes","No","$154,081,903","18,751","Analyze"
"EQOS","Diginex Limited","Hong Kong","","Financials","Yes","No","$150,333,853","723,980","Analyze"
"JWEL","Jowell Global Ltd.","China","Canada","Consumer Discretionary","Yes","No","$149,182,266","59,672","Analyze"
"ASC","Ardmore Shipping Corp","Bermuda","Marshall Islands","Energy","Yes","No","$144,361,723","357,589","Analyze"
"HUDI","Huadi International Group Co., Ltd.","China","","Materials","Yes","No","$141,400,500","329,682","Analyze"
"QLI","Qilian International Holding Group Ltd","China","","Health Care","Yes","No","$140,140,000","15,835","Analyze"
"ESGC","Eros STX Global Corporation A","Isle Of Man","Isle of Man","Communication Services","Yes","Yes","$139,655,526","1,860,584","Analyze"
"SRL","Scully Royalty Ltd.","Hong Kong","","Financials","Yes","No","$138,981,647","4,289","Analyze"
"VBLT","Vascular Biogenics Ltd.","Israel","","Health Care","Yes","No","$137,834,290","146,198","Analyze"
"HTOO","Fusion Fuel Green PLC","Portugal","","Utilities","Yes","No","$136,562,812","51,287","Analyze"
"PYPD","PolyPid Ltd.","Israel","","Health Care","Yes","No","$135,751,384","23,824","Analyze"
"EPSN","Epsilon Energy Ltd.","Canada","Canada","Energy","No","No","$132,708,546","60,194","Analyze"
"BCTX","BriaCell Therapeutics Corp.","Canada","","Health Care","No","No","$120,544,592","2,208,844","Analyze"
"IFRX","InflaRx N.V.","Germany","","Health Care","Yes","No","$119,742,710","1,187,623","Analyze"
"FRLN","Freeline Therapeutics Holdings plc  ADRs","United Kingdom","","Health Care","Yes","No","$119,223,457","73,903","Analyze"
"GSMG","Glory Star New Media Group Holdings Limited","China","","Communication Services","Yes","No","$117,538,695","286,515","Analyze"
"YTRA","Yatra Online, Inc.","India","","Consumer Discretionary","Yes","No","$116,469,889","147,513","Analyze"
"EVGN","Evogene Ltd.","Israel","","Health Care","Yes","No","$114,957,781","265,860","Analyze"
"SJ","Scienjoy Holding Corporation","Hong Kong","Canada","Communication Services","Yes","No","$105,797,119","137,596","Analyze"
"ELYS","Elys Game Technology, Corp.","Canada","","Information Technology","No","No","$105,711,321","337,517","Analyze"
"DOGZ","Dogness (International) Corporation Class A","China","","Consumer Staples","Yes","No","$104,575,593","689,227","Analyze"
"EJH","E-Home Household Service Holdings Ltd","China","","Industrials","Yes","No","$104,102,824","1,299,350","Analyze"
"SISI","Shineco, Inc.","China","","Health Care","No","No","$104,077,454","5,628","Analyze"
"CAAS","China Automotive Systems Inc.","China","","Consumer Discretionary","No","No","$101,193,825","30,103","Analyze"
"ITRM","Iterum Therapeutics Plc","Ireland","","Health Care","No","No","$97,729,943","5,732,286","Analyze"
"DPRO","Draganfly Inc.","Canada","","Industrials","Yes","No","$97,094,734","256,534","Analyze"
"GASS","StealthGas Inc.","Greece","","Industrials","Yes","No","$96,917,599","96,359","Analyze"
