"Symbol","Name","Index Country","Country of incorporation","Cross-list symbol","Cross-list exchange","Foreign filer?","GICS Sector","Market cap","Average Volume","Action"
"BEPC","Brookfield Renewable Corporation Class A","Canada","Canada","CT:BEPC","Toronto Stock Exchange","Yes","Utilities","$7,184,450,549","313,186","Analyze"
"BFARF","Bitfarms Ltd","Canada","","CV:BITF","TSX Venture Exchange","No","Financials","$682,240,031","1,265,158","Analyze"
"BFFAF","BASF SE","Germany","","GF:BAS","Frankfurt Stock Exchange","No","Materials","$70,071,933,588","111","Analyze"
"BHC","Bausch Health Companies Inc.","Canada","Canada","CT:BHC","Toronto Stock Exchange","No","Health Care","$9,873,799,662","2,030,422","Analyze"
"BHNGF","Bhang Inc.","Canada","","CF:BHNG","Canadian Securities Exchange","No","Unknown","$5,400,130","6,716","Analyze"
"BILZF","Ignite International Brands Ltd","Canada","","CF:BILZ","Canadian Securities Exchange","No","Unknown","$114,045,938","36,657","Analyze"
"BIPC","Brookfield Infrastructure Partners LP Class A Subordinate Voting Shares","Canada","Canada","CT:BIPC","Toronto Stock Exchange","Yes","Utilities","$2,724,361,254","506,888","Analyze"
"BKLLF","Codebase Ventures Inc.","Canada","","CF:CODE","Canadian Securities Exchange","No","Financials","$5,350,269","459,991","Analyze"
"BLDP","Ballard Power Systems","Canada","Canada","CT:BLDP","Toronto Stock Exchange","Yes","Industrials","$4,508,691,692","3,272,476","Analyze"
"BLEVF","Beleave Inc.","Canada","","CF:BE","Canadian Securities Exchange","No","Unknown","$1,070,706","10,210","Analyze"
"BLU","BELLUS Health Inc.","Canada","","CT:BLU","Toronto Stock Exchange","Yes","Health Care","$453,573,320","5,033,261","Analyze"
"BMO","Bank Of Montreal","Canada","Canada","CT:BMO","Toronto Stock Exchange","Yes","Financials","$65,810,866,812","693,502","Analyze"
"BNIGF","Beroni Group Ltd.","Australia","","AO:BTG","National Stock Exchange of Australia","No","Unknown","$15,174,470","550","Analyze"
"BNOEF","Bionomics Ltd","Australia","","AT:BNO","Asx - All Markets","No","Health Care","$131,247,577","203,220","Analyze"
"BNPQF","BNP Paribas SA Class A","France","","FP:BNP","Euronext Paris","No","Financials","$79,712,152,221","1,024","Analyze"
"BNS","The Bank Of Nova Scotia","Canada","Canada","CT:BNS","Toronto Stock Exchange","Yes","Financials","$75,206,550,460","1,041,495","Analyze"
"BONXF","BonTerra Resources Inc.","Canada","","CV:BTR","TSX Venture Exchange","No","Materials","$89,652,499","39,831","Analyze"
"BPRMF","Blue Prism Group PLC","United Kingdom","United Kingdom","LN:PRSM","London Stock Exchange","Yes","Information Technology","$1,565,191,408","3,624","Analyze"
"BRGGF","Bragg Gaming Group Inc.","Canada","","CV:BRAG","TSX Venture Exchange","No","Unknown","$207,068,689","49,331","Analyze"
"BRPHF","Galaxy Digital Holdings Ltd","Canada","","CT:GLXY","Toronto Stock Exchange","No","Communication Services","$1,996,106,586","580,896","Analyze"
"BTG","B2Gold Corp","Canada","Canada","CT:BTO","Toronto Stock Exchange","Yes","Materials","$3,868,512,979","7,335,503","Analyze"
"BTGOF","BT Group PLC","United Kingdom","United Kingdom","LN:BT-A","London Stock Exchange","Yes","Communication Services","$21,027,306,161","72,894","Analyze"
"BUR","Burford Capital Limited","United Kingdom","Guernsey","LN:BUR","London Stock Exchange","Yes","Financials","$2,352,595,679","117,325","Analyze"
"BUROF","Burcon NutraScience Corporation","Canada","","CT:BU","Toronto Stock Exchange","No","Materials","$447,821,587","38,655","Analyze"
"BYDDF","BYD Company Limited","China","","HK:1211","Hong Kong Exchange","No","Communication Services","$33,520,280,000","57,673","Analyze"
"CAE","CAE Inc.","Canada","Canada","CT:CAE","Toronto Stock Exchange","No","Industrials","$9,281,302,576","249,339","Analyze"
"CANSF","Willow Biosciences Inc.","Canada","","CT:WLLW","Toronto Stock Exchange","No","Materials","$64,404,177","29,690","Analyze"
"CBWTF","Auxly Cannabis Group Inc.","Canada","","CV:XLY","TSX Venture Exchange","No","Health Care","$163,138,391","1,195,834","Analyze"
"CCHWF","Columbia Care Inc.","Canada","","CF:CCHW","Canadian Securities Exchange","No","Consumer Discretionary","$1,461,554,516","367,825","Analyze"
"CCJ","Cameco Corporation","Canada","Canada","CT:CCO","Toronto Stock Exchange","Yes","Energy","$9,557,999,063","10,493,018","Analyze"
"CFGMF","California Gold Mining Inc.","Canada","","CF:CGM","Canadian Securities Exchange","No","Materials","$6,081,112","3,175","Analyze"
"CGAU","Centerra Gold Inc.","Canada","","CT:CG","Toronto Stock Exchange","Yes","Materials","$2,142,283,058","61,665","Analyze"
"CGC","Canopy Growth Corporation","Canada","Australia","CT:WEED","Toronto Stock Exchange","No","Health Care","$5,832,463,072","3,649,196","Analyze"
"CGMLF","Chalice Gold Mines Limited","Australia","","AT:CHN","Asx - All Markets","No","Materials","$1,979,983,190","22,000","Analyze"
"CHPGF","Chesapeake Gold Corp.","Canada","","CV:CKG","TSX Venture Exchange","No","Materials","$201,959,128","8,605","Analyze"
"CHXMF","Troilus Gold Corp.","Canada","","CT:TLG","Toronto Stock Exchange","No","Materials","$120,953,702","146,819","Analyze"
"CIGI","Colliers International Group Inc.","Canada","Canada","CT:CIGI","Toronto Stock Exchange","Yes","Real Estate","$5,618,524,693","76,944","Analyze"
"CIXX","CI Financial Corp.","Canada","","CT:CIX","Toronto Stock Exchange","Yes","Financials","$4,295,636,696","41,482","Analyze"
"CKHUF","CK Hutchison Holdings Limited","China","","HK:0001","Hong Kong Exchange","No","Industrials","$26,652,528,680","900","Analyze"
"CLABF","Core One Labs Inc.","Canada","","CF:COOL","Canadian Securities Exchange","No","Unknown","$27,684,067","281,596","Analyze"
"CLS","Celestica","Canada","Canada","CT:CLS","Toronto Stock Exchange","Yes","Information Technology","$932,661,743","289,236","Analyze"
"CM","Canadian Imperial Bank Of Commerce","Canada","Canada","CT:CM","Toronto Stock Exchange","Yes","Financials","$52,493,916,587","454,159","Analyze"
"CMCL","Caledonia Mining Corporation Plc","Jersey","Jersey","CT:CAL","Toronto Stock Exchange","Yes","Materials","$145,789,441","29,095","Analyze"
"CNHI","CNH Industrial N.V.","The Netherlands","The Netherlands","IM:CNHI","Borsa Italiana S.P.A.","Yes","Industrials","$22,962,321,588","2,466,114","Analyze"
"CNI","Canadian National Railway Company","Canada","Australia","CT:CNR","Toronto Stock Exchange","Yes","Industrials","$82,100,798,704","3,989,190","Analyze"
"CNNEF","Canacol Energy Ltd.","Canada","","CT:CNE","Toronto Stock Exchange","No","Energy","$467,066,965","32,400","Analyze"
"CNQ","Canadian Natural Resources Limited","Canada","Canada","CT:CNQ","Toronto Stock Exchange","Yes","Energy","$41,033,938,965","3,326,703","Analyze"
"CNSNF","Constantine Metal Resources Ltd.","Canada","","CV:CEM","TSX Venture Exchange","No","Unknown","$21,535,292","172,161","Analyze"
"CP","Canadian Pacific Railway Limited","Canada","Canada","CT:CP","Toronto Stock Exchange","No","Industrials","$45,474,946,180","7,879,956","Analyze"
"CPG","Crescent Point Energy Corporation","Canada","Canada","CT:CPG","Toronto Stock Exchange","Yes","Consumer Discretionary","$2,333,766,138","2,752,940","Analyze"
"CPMMF","Crystal Peak Minerals Inc.","Canada","","CV:CPM","TSX Venture Exchange","No","Materials","$2,815,846","0","Analyze"
"CRECF","Critical Elements Lithium Corporation","Canada","","CV:CRE","TSX Venture Exchange","No","Materials","$200,042,373","59,489","Analyze"
"CRHCF","CRH plc","Ireland","","LN:CRH","London Stock Exchange","No","Materials","$40,278,786,474","0","Analyze"
"CRLBF","Cresco Labs Inc.","Canada","","CF:CL","Canadian Securities Exchange","No","Consumer Discretionary","$1,934,317,119","374,824","Analyze"
"CRON","Cronos Group Inc.","Canada","Canada","CT:CRON","Toronto Stock Exchange","No","Health Care","$2,213,509,109","1,519,777","Analyze"
"CRPOF","Ceapro Inc.","Canada","","CV:CZO","TSX Venture Exchange","No","Materials","$3,977,494","1,126","Analyze"
"CRSXF","Corsa Coal Corp.","Canada","","CV:CSO","TSX Venture Exchange","No","Materials","$54,529,240","122,550","Analyze"
"CRTPF","Cardiol Therapeutics Inc. Class A","Canada","","CT:CRDL","Toronto Stock Exchange","No","Unknown","$98,777,166","65,025","Analyze"
"CSGKF","Credit Suisse Group AG","Switzerland","","VX:CSGN","Six Swiss - Blue Chips Segment","No","Financials","$27,196,671,607","0","Analyze"
"CTARF","Centaurus Energy Inc.","Canada","","CV:CTA","TSX Venture Exchange","No","Energy","$8,813,760","37,409","Analyze"
"CTSDF","Converge Technology Solutions Corp.","Canada","","CT:CTS","Toronto Stock Exchange","No","Information Technology","$2,016,183,626","26,981","Analyze"
"CTVEF","Certive Solutions Inc.","Canada","","CF:CBP","Canadian Securities Exchange","No","Health Care","$7,220,235","1,000","Analyze"
"CUKPF","Carnival PLC","United Kingdom","United Kingdom","LN:CCL","London Stock Exchange","Yes","Consumer Discretionary","$192,536,560","2,429","Analyze"
"CURLF","Curaleaf Holdings Inc.","Canada","","CF:CURA","Canadian Securities Exchange","No","Consumer Discretionary","$7,005,714,509","305,473","Analyze"
"CVALF","Covalon Technologies Ltd.","Canada","","CV:COV","TSX Venture Exchange","No","Health Care","$53,806,848","600","Analyze"
"CVE","Cenovus Energy Inc","Canada","Canada","CT:CVE","Toronto Stock Exchange","Yes","Energy","$17,895,408,724","7,429,910","Analyze"
"CWBHF","Charlottes Web Holdings Inc.","Canada","","CT:CWEB","Toronto Stock Exchange","No","Health Care","$227,302,454","553,624","Analyze"
"CXBMF","Calibre Mining Corp.","Canada","","CT:CXB","Toronto Stock Exchange","No","Materials","$383,267,587","67,305","Analyze"
"CXXIF","C21 Investments Inc","Canada","","CF:CXXI","Canadian Securities Exchange","No","Consumer Discretionary","$90,010,843","62,810","Analyze"
"DB","Deutsche Bank AG","Germany","Germany","GF:DBK","Frankfurt Stock Exchange","Yes","Financials","$27,116,063,479","3,177,177","Analyze"
"DCBO","Docebo Inc.","Canada","","CT:DCBO","Toronto Stock Exchange","Yes","Information Technology","$3,020,453,750","101,613","Analyze"
"DDAIF","Daimler AG","Germany","","GF:DAI","Frankfurt Stock Exchange","No","Consumer Discretionary","$90,946,881,369","0","Analyze"
"DECPF","Diversified Energy Company PLC","United Kingdom","","LN:DEC","London Stock Exchange","No","Energy","$1,342,372,236","0","Analyze"
"DFLYF","Draganfly Inc","Canada","","CF:DFLY","Canadian Securities Exchange","No","Communication Services","$78,727,793","294,559","Analyze"
"DGEAF","Diageo PLC","United Kingdom","United Kingdom","LN:DGE","London Stock Exchange","Yes","Consumer Staples","$111,797,897,992","7,679","Analyze"
"DLAKF","Deutsche Lufthansa AG","Germany","","GF:LHA","Frankfurt Stock Exchange","No","Industrials","$5,648,669,668","3,032","Analyze"
"DMGGF","DMG Blockchain Solutions Inc.","Canada","","CV:DMGI","TSX Venture Exchange","No","Information Technology","$132,218,324","6,798,328","Analyze"
"DNN","Denison Mines Corp","Canada","","CT:DML","Toronto Stock Exchange","Yes","Materials","$1,369,708,301","22,591,425","Analyze"
"DOOO","BRP Inc.","Canada","","CT:DOO","Toronto Stock Exchange","Yes","Consumer Discretionary","$3,547,112,440","82,986","Analyze"
"DPSTF","Deutsche Post AG","Germany","","GF:DPW","Frankfurt Stock Exchange","No","Industrials","$89,224,668,042","0","Analyze"
"DRTT","DIRTT Environmental Solutions Ltd.","Canada","","CT:DRT","Toronto Stock Exchange","No","Industrials","$294,205,871","66,551","Analyze"
"DSGX","The Descartes Systems Group Inc.","Canada","Canada","CT:DSG","Toronto Stock Exchange","Yes","Information Technology","$6,970,216,614","96,169","Analyze"
"DTEGF","Deutsche Telekom AG","Germany","","GF:DTE","Frankfurt Stock Exchange","No","Communication Services","$97,800,359,562","739","Analyze"
"DYFSF","DynaCERT Inc.","Canada","","CV:DYA","TSX Venture Exchange","No","Industrials","$82,856,397","31,486","Analyze"
"DYLLF","Deep Yellow Limited","Australia","","AT:DYL","Asx - All Markets","No","Unknown","$320,109,023","384,429","Analyze"
"EDVMF","Endeavour Mining Corporation","Canada","","CT:EDV","Toronto Stock Exchange","No","Materials","$5,869,022,058","39,608","Analyze"
"EEVVF","Eve & Co. Inc.","Canada","","CV:EVE","TSX Venture Exchange","No","Unknown","$3,592,582","1,809,368","Analyze"
"EFLVF","Electrovaya Inc.","Canada","","CT:EFL","Toronto Stock Exchange","No","Industrials","$125,072,457","215,682","Analyze"
"EGO","Eldorado Gold Corporation","Canada","Canada","CT:ELD","Toronto Stock Exchange","Yes","Materials","$1,489,967,742","1,459,250","Analyze"
"ELLXF","Elixinol Global Ltd.","Australia","","AT:EXL","Asx - All Markets","No","Unknown","$25,929,367","118,677","Analyze"
"ELRRF","Eloro Resources Ltd","Canada","","CV:ELO","TSX Venture Exchange","No","Materials","$168,229,356","75,029","Analyze"
"ELYGF","Ely Gold Royalties Inc.","Canada","","CV:ELY","TSX Venture Exchange","No","Unknown","$181,063,915","345,488","Analyze"
"EMHTF","Emerald Health Therapeutics Inc.","Canada","","CV:EMH","TSX Venture Exchange","No","Health Care","$23,508,095","180,172","Analyze"
"EMX","Emx Royalty Corporation","Canada","","CV:EMX","TSX Venture Exchange","Yes","Materials","$235,371,490","137,428","Analyze"
"ENB","Enbridge Inc","Canada","Canada","CT:ENB","Toronto Stock Exchange","No","Energy","$81,150,784,100","3,332,470","Analyze"
"ENCUF","enCore Energy Corp.","Canada","","CV:EU","TSX Venture Exchange","No","Materials","$339,156,945","346,250","Analyze"
"EPGNF","Epigenomics AG","Germany","","GF:ECX","Frankfurt Stock Exchange","No","Unknown","$16,469,755","8,000","Analyze"
"EPWCF","Empower Clinics Inc","Canada","","CF:CBDT","Canadian Securities Exchange","No","Communication Services","$127,359,765","80,625","Analyze"
"EQX","Equinox Gold Corp.","Canada","Canada","CT:EQX","Toronto Stock Exchange","Yes","Materials","$2,136,191,892","1,321,224","Analyze"
"ERF","Enerplus Corporation","Canada","Canada","CT:ERF","Toronto Stock Exchange","Yes","Health Care","$1,686,848,157","1,509,852","Analyze"
"ERIXF","Telefonaktiebolaget LM Ericsson Class B","Sweden","","SS:ERIC-B","Nasdaq Omx Nordic","No","Information Technology","$3,091,338,360","0","Analyze"
"ERO","Ero Copper Corp.","Canada","Canada","CT:ERO","Toronto Stock Exchange","Yes","Materials","$1,748,051,091","16,933","Analyze"
"ESLOF","Essilor International","France","France","FP:EI","Euronext Paris","Yes","Health Care","$89,753,509,232","0","Analyze"
"ESLT","Elbit Systems Ltd.","Israel","Israel","IT:ESLT","Tel Aviv Stock Exchange","Yes","Industrials","$6,467,893,578","57,587","Analyze"
"ESOCF","Enel SpA","Italy","","IM:ENEL","Borsa Italiana S.P.A.","No","Utilities","$84,078,443,153","0","Analyze"
"EURN","Euronav Nv","Belgium","Belgium","BB:EURN","Nyse Euronext - Euronext Brussels","Yes","Energy","$1,898,813,273","1,357,103","Analyze"
"EXK","Endeavour Silver Corporation","Canada","","CT:EDR","Toronto Stock Exchange","Yes","Materials","$739,103,710","2,305,433","Analyze"
"EXMGF","Excelsior Mining Corp.","Canada","","CV:MIN","TSX Venture Exchange","No","Unknown","$121,284,340","142,500","Analyze"
"EXN","Excellon Resources Inc.","Canada","","CT:EXN","Toronto Stock Exchange","Yes","Materials","$51,438,673","32,288","Analyze"
"EXPGF","Experian PLC","United Kingdom","","LN:EXPN","London Stock Exchange","No","Industrials","$42,908,805,600","6,792","Analyze"
"EXROF","Exro Technologies Inc.","Canada","","CV:EXRO","TSX Venture Exchange","No","Industrials","$290,208,961","612,692","Analyze"
"FCUUF","Fission Uranium Corp.","Canada","","CV:FCU","TSX Venture Exchange","No","Energy","$587,425,983","271,514","Analyze"
"FDVRF","Facedrive Inc.","Canada","","CV:FD","TSX Venture Exchange","No","Information Technology","$152,397,597","24,973","Analyze"
"FFLWF","Fire & Flower Holdings Corp.","Canada","","CT:FAF","Toronto Stock Exchange","No","Unknown","$249,393,569","60,528","Analyze"
"FFMGF","First Mining Gold Corp.","Canada","","CT:FF","Toronto Stock Exchange","No","Materials","$178,019,535","1,391,291","Analyze"
"FFNTF","4Front Ventures Corp.","Canada","","CF:FFNT","Canadian Securities Exchange","No","Consumer Discretionary","$587,664,580","980,064","Analyze"
"FLOOF","Flower One Holdings Inc.","Canada","","CF:FONE","Canadian Securities Exchange","No","Unknown","$36,296,323","14,469","Analyze"
"FLYLF","FLYHT Aerospace Solutions Ltd.","Canada","","CV:FLY","TSX Venture Exchange","No","Industrials","$23,834,815","126,915","Analyze"
"FNV","Franco-Nevada Corporation","Canada","Canada","CT:FNV","Toronto Stock Exchange","Yes","Materials","$26,638,215,717","520,485","Analyze"
"FQVTF","Fevertree Drinks PLC","United Kingdom","United Kingdom","LN:FEVR","London Stock Exchange","Yes","Consumer Staples","$3,741,116,521","2,684","Analyze"
"FRFHF","Fairfax Financial Holdings","Canada","","CT:FFH","Toronto Stock Exchange","No","Financials","$11,516,482,978","0","Analyze"
"FSM","Fortuna Silver Mines Inc","Canada","Canada","CT:FVI","Toronto Stock Exchange","Yes","Materials","$1,235,644,633","4,431,465","Analyze"
"FSNUF","Fresenius SE & Co. KGaA","Germany","","GF:FRE","Frankfurt Stock Exchange","No","Health Care","$23,191,487,944","100","Analyze"
"FSUMF","Fortescue Metals Group Ltd","Australia","","AT:FMG","Asx - All Markets","No","Materials","$37,963,637,439","115,291","Analyze"
"FSV","Firstservice Corporation","Canada","Canada","CT:FSV","Toronto Stock Exchange","Yes","Real Estate","$8,003,083,397","36,703","Analyze"
"FTI","TechnipFMC PLC","United Kingdom","United Kingdom","FP:FTI","Euronext Paris","No","Energy","$3,208,987,418","5,610,317","Analyze"
"FTMDF","Fortune Minerals Limited","Canada","","CT:FT","Toronto Stock Exchange","No","Materials","$30,381,180","32,249","Analyze"
"FTRP","Field Trip Health Ltd.","Canada","","CT:FTRP","Toronto Stock Exchange","Yes","Health Care","$264,271,904","111,676","Analyze"
"FTS","Fortis Inc.","Canada","Canada","CT:FTS","Toronto Stock Exchange","Yes","Utilities","$21,559,961,909","308,087","Analyze"
"FTSSF","First Cobalt Corp.","Canada","","CV:FCC","TSX Venture Exchange","No","Materials","$114,120,737","637,183","Analyze"
"FURY","Fury Gold Mines Limited","Canada","","CT:FURY","Toronto Stock Exchange","Yes","Materials","$80,924,069","297,686","Analyze"
"FVANF","First Vanadium Corp.","Canada","","CV:FVAN","TSX Venture Exchange","No","Unknown","$47,836,555","81,755","Analyze"
